epoch,lr,train_loss,val_loss,train_auroc,val_auroc,val_auprc,segundos
1,9.829629131445342e-05,0.7439825525939276,0.72597592468652,0.8499573222094774,0.8645981454900542,0.668041736905044,246.8
2,9.330127018922195e-05,0.6633631281625061,0.7236539675831669,0.8823652753769011,0.868021589299491,0.6696626109333649,243.8
3,8.535533905932738e-05,0.621566780303983,0.6842775404265645,0.8973305610781327,0.880798595930738,0.7127361964161147,245.1
4,7.500000000000001e-05,0.5684814727193787,0.752545871520718,0.9140582875974752,0.8779615607655363,0.6923726913708325,257.7
5,6.294095225512605e-05,0.5093426469740813,0.8508225542425734,0.931086080745351,0.8724483339489802,0.6779025279343405,263.3
6,5.000000000000001e-05,0.4329534445829682,0.8784177593206683,0.9502628933595119,0.8707303044554837,0.6789474491086074,251.8
7,3.705904774487398e-05,0.34488710744808754,0.9728018386604153,0.9687914219581595,0.8649470339943555,0.6772661593391148,220.9
